Altium Designer Pick and Place Locations
E:\aKaReZa\#gitHub\eBoard_STM32F103C8\STM32F103C8\Project Outputs for STM32F103C8\Generates pick and place files\Pick Place for PCB.txt

========================================================================================================================
File Design Information:

Date:       11/06/25
Time:       00:14
Revision:   98f6c1fc2c8f57b48bf7590bb7dd359262cf5eb8
Variant:    No variations
Units used: mm

Designator Comment        Layer       Footprint                     Center-X(mm) Center-Y(mm) Rotation Description                                                               
S2         PB             TopLayer    SW_PB_SMD_2PIN_SPST_6X3X2     39.8780      13.4620      180      "SMT Tactile ?Switch"                                                     
R4         10K            TopLayer    RES_0805_(2012X06L)           38.0660      10.5410      180      Resistor                                                                  
C25        100n           TopLayer    CAP_0805/2012                 42.3250      10.5410      0        "Bipolar ceramic capacitor SMD"                                           
R1         390b           TopLayer    RES_0805_(2012X06L)           17.5600      15.8750      180      Resistor                                                                  
C5         10u            BottomLayer SMT_C_Tantalum_A              35.9410      23.2410      0        "Tantalum Capacitor,TAJ Series-SMD"                                       
C9         100n           BottomLayer CAP_0805/2012                 25.0444      18.1610      180      "Bipolar ceramic capacitor SMD"                                           
JP1        Jumper         BottomLayer RESC2012M_(0805)              36.1950      7.6200       180      "Jumper Component"                                                        
J1         Micro          TopLayer    USB_Micro_Standard            43.6750      3.2030       90       "USB micro female"                                                        
Y2         32.768KHz      TopLayer    XTL_2_3215                    20.7010      24.6380      0        "Crystal Oscillator"                                                      
C7         12.5p          TopLayer    CAP_0603/1608                 22.2250      26.7970      180      "Bipolar ceramic capacitor SMD"                                           
C6         12.5p          TopLayer    CAP_0603/1608                 19.5180      26.7970      0        "Bipolar ceramic capacitor SMD"                                           
P1         STLinkV3-minie TopLayer    IDC2.54-10PIN                 26.9240      4.9530       180      "STLINK-V3MINIE debugger/programmer IDC probe for STM32 microcontrollers" 
S1         PB             TopLayer    SW_PB_SMD_2PIN_SPST_6X3X2     12.5730      5.3340       90       "SMT Tactile ?Switch"                                                     
Y1         8MHz           TopLayer    XTL_2_5032                    16.4893      19.7964      270      "Crystal Oscillator"                                                      
Y3         12M            TopLayer    Crystal_SMD                   45.8470      59.6310      270      "Crystal Oscillator"                                                      
U1         STM32F103C8T6  TopLayer    LQFP48_N                      27.8130      18.2880      0        "32-Bit mircrocontroller"                                                 
